image1,image2,pos,corr_resp,c_ic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,image.started,image_2.started,image.stopped,image_2.stopped,cue.started,key_resp.started,cue.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06008760000258917,0.08267479999994976,0.08267479999994976,82.01156140000239,space,81.91677550000168,None,,,,,,,,,,,,,,,,,,,3,001,2023-11-10_18h11.30.577,solo,2023.2.2,59.63331474800473,2023-11-10 18h11.46.925101 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Happy Emoji [Download iPhone Emojis].png,-0.3,down,c,0,0,0,24,82.09278679999989,,,,,,,,,82.04405749999933,82.09278679999989,82.52685740000015,82.52685740000015,83.02695769999991,83.02695769999991,83.32720770000014,83.62700590000168,83.7273266000011,83.9786864000016,down,1,0.348233299999265,None,,,,,3,001,2023-11-10_18h11.30.577,solo,2023.2.2,59.63331474800473,2023-11-10 18h11.46.925101 +0530,
C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,1,1,14,84.02585860000181,,,,,,,,,83.97998189999998,84.02585860000181,84.49394880000182,84.49394880000182,84.99348900000041,84.99348900000041,85.29380160000073,85.59341810000114,85.69376539999939,85.69541690000187,down,1,0.0933169000018097,None,,,,,3,001,2023-11-10_18h11.30.577,solo,2023.2.2,59.63331474800473,2023-11-10 18h11.46.925101 +0530,
C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,2,2,15,85.76007430000027,,,,,,,,,85.69659460000184,85.76007430000027,86.21035050000137,86.21035050000137,86.71415560000241,86.71415560000241,87.01036139999997,87.3101870999999,,87.3783261000026,up,0,0.058053700002346886,None,,,,,3,001,2023-11-10_18h11.30.577,solo,2023.2.2,59.63331474800473,2023-11-10 18h11.46.925101 +0530,
C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,0.3,up,c,0,3,3,6,87.42652880000242,,,,,,,,,87.37919160000092,87.42652880000242,87.89412900000025,87.89412900000025,88.39330690000133,88.39330690000133,88.69355859999996,88.99377200000163,,89.06163110000125,up,1,0.05364299999928335,None,,,,,3,001,2023-11-10_18h11.30.577,solo,2023.2.2,59.63331474800473,2023-11-10 18h11.46.925101 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,0.3,up,ic,0,4,4,23,89.1090265999992,,,,,,,,,89.0624080000016,89.1090265999992,89.5773829000027,89.5773829000027,90.09330930000215,90.09330930000215,90.37675270000182,90.67734840000048,90.7765900000013,90.81150700000217,up,1,0.1322366000022157,None,,,,,3,001,2023-11-10_18h11.30.577,solo,2023.2.2,59.63331474800473,2023-11-10 18h11.46.925101 +0530,
C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,-0.3,down,ic,0,5,5,9,90.85971340000106,,,,,,,,,90.81234250000125,90.85971340000106,91.32697660000122,91.32697660000122,91.82694020000054,91.82694020000054,92.11023850000129,92.42684960000042,92.54314110000269,92.49470890000157,down,1,0.05694529999891529,None,,,,,3,001,2023-11-10_18h11.30.577,solo,2023.2.2,59.63331474800473,2023-11-10 18h11.46.925101 +0530,
C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,-0.3,down,ic,0,6,6,13,92.54314110000269,,,,,,,,,92.49561080000058,92.54314110000269,93.01083520000248,93.01083520000248,93.51006849999976,93.51006849999976,93.810118100002,94.10997019999922,94.24401020000005,94.1946941999995,down,1,0.07160300000032294,None,,,,,3,001,2023-11-10_18h11.30.577,solo,2023.2.2,59.63331474800473,2023-11-10 18h11.46.925101 +0530,
C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,-0.3,down,ic,0,7,7,12,94.24401020000005,,,,,,,,,94.19547160000002,94.24401020000005,94.71073590000015,94.71073590000015,95.20994699999937,95.20994699999937,95.51043919999938,95.8105338000023,95.91005009999935,95.91149170000062,down,1,0.08497069999793894,None,,,,,3,001,2023-11-10_18h11.30.577,solo,2023.2.2,59.63331474800473,2023-11-10 18h11.46.925101 +0530,
C:\Users\twara\Downloads\Smiling With Closed Eyes Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,0.3,up,c,0,8,8,2,95.97583060000034,,,,,,,,,95.91235850000157,95.97583060000034,96.42700490000061,96.42700490000061,96.9270897000024,96.9270897000024,97.22669370000222,97.53009369999927,97.6271478000017,97.62874659999943,up,1,0.09689140000045882,None,,,,,3,001,2023-11-10_18h11.30.577,solo,2023.2.2,59.63331474800473,2023-11-10 18h11.46.925101 +0530,
