image1,image2,pos,corr_resp,c_ic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,cue.started,cue_1.started,cue.stopped,cue_1.stopped,probe.started,key_resp.started,probe.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,-0.3,down,ic,0,10,10,12,21.25422360000084,,,,,,,,,21.221669499998825,21.25422360000084,21.736976699998195,21.736976699998195,22.23679749999792,22.23679749999792,22.536880999999994,22.736788700000034,22.936796399997547,23.287879199997406,down,1,0.5351574999986042,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,0.3,up,c,0,11,11,5,23.320890200000576,,,,,,,,,23.288292099998216,23.320890200000576,23.80348310000045,23.80348310000045,24.303430600000866,24.303430600000866,24.603662599998643,24.8031235999988,25.0036274999984,25.288193699998374,up,1,0.47188420000020415,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Very Happy Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,0.3,up,c,0,12,12,3,25.32092719999855,,,,,,,,,25.28886109999803,25.32092719999855,25.803594599998178,25.803594599998178,26.303276599999663,26.303276599999663,26.60355409999829,26.803338800000347,27.003369099998963,27.237545100000716,up,1,0.42155020000063814,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Very Happy Emoji [Free Download IOS Emojis].png,-0.3,down,c,0,13,13,27,27.269271999997727,,,,,,,,,27.237907099999575,27.269271999997727,27.753450199998042,27.753450199998042,28.252924299998995,28.252924299998995,28.553427200000442,28.75309389999893,28.953118299999915,29.32088239999939,down,1,0.5508958999998868,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,0.3,up,ic,0,14,14,17,29.353392499997426,,,,,,,,,29.321270500000537,29.353392499997426,29.83724919999804,29.83724919999804,30.336574000000837,30.336574000000837,30.63665309999851,30.836397099999886,31.03642889999901,31.287335499997425,up,1,0.43776989999969373,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Smiling With Closed Eyes Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,15,15,10,31.336537700000918,,,,,,,,,31.28776189999917,31.336537700000918,31.803462699997908,31.803462699997908,32.303377099997306,32.303377099997306,32.6033568999992,32.80326570000034,33.00309479999851,33.137582600000314,down,1,0.3287348000012571,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,0.3,up,ic,0,16,16,21,33.17061140000078,,,,,,,,,33.13800640000045,33.17061140000078,33.653325100000075,33.653325100000075,34.15341659999831,34.15341659999831,34.45328249999875,34.65292729999783,34.853226999999606,35.454237199999625,up,1,0.7935510000024806,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,0.3,up,c,0,17,17,6,35.48718799999915,,,,,,,,,35.45468819999951,35.48718799999915,35.97015610000017,35.97015610000017,36.46937839999737,36.46937839999737,36.769941700000345,36.96986130000005,37.17003679999834,37.387235999998666,up,1,0.40622179999991204,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,18,18,15,37.41957529999854,,,,,,,,,37.38780770000085,37.41957529999854,37.903577099998074,37.903577099998074,38.403143600000476,38.403143600000476,38.68664879999778,38.9032186000004,39.08647689999998,39.45395500000086,down,1,0.5361390999969444,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,-0.3,down,c,0,19,19,29,39.487303599998995,,,,,,,,,39.45432570000048,39.487303599998995,39.953213400000095,39.953213400000095,40.45310609999797,40.45310609999797,40.76975289999973,40.969828599998436,41.16986589999942,41.42060459999993,down,1,0.44096949999948265,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
