image1,image2,pos,corr_resp,c_ic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,image.started,image_2.started,image.stopped,image_2.stopped,cue.started,key_resp.started,cue.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.05940389999886975,0.08464639999874635,0.08464639999874635,1.663682999998855,space,1.5632297000011022,None,,,,,,,,,,,,,,,,,,,2,001,2023-11-10_18h08.19.144,solo,2023.2.2,60.220430864132155,2023-11-10 18h08.30.209638 +0530,
C:\Users\twara\Downloads\Very Happy Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,0.3,up,c,0,0,0,3,1.811672699997871,,,,,,,,,1.700783500000398,1.811672699997871,2.1951554999977816,2.1951554999977816,2.6958842999993067,2.6958842999993067,2.9789152999983344,3.279084800000419,3.378807000000961,3.763602200000605,up,1,0.47709670000040205,None,,,,,2,001,2023-11-10_18h08.19.144,solo,2023.2.2,60.220430864132155,2023-11-10 18h08.30.209638 +0530,
C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,0.3,up,c,0,1,1,1,3.8621586999979627,,,,,,,,,3.76688269999795,3.8621586999979627,4.278949499999726,4.278949499999726,4.779558499998529,4.779558499998529,5.078757999999652,5.378699699998833,5.478871200000867,5.696794999999838,up,1,0.30167100000107894,None,,,,,2,001,2023-11-10_18h08.19.144,solo,2023.2.2,60.220430864132155,2023-11-10 18h08.30.209638 +0530,
C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,2,2,14,5.795363599998382,,,,,,,,,5.6977354000009655,5.795363599998382,6.212529899999936,6.212529899999936,6.712421500000346,6.712421500000346,7.012163299998065,7.312143700000888,7.412069300000439,7.546872599999915,down,1,0.22454759999891394,None,,,,,2,001,2023-11-10_18h08.19.144,solo,2023.2.2,60.220430864132155,2023-11-10 18h08.30.209638 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,0.3,up,ic,0,3,3,21,7.612833499999397,,,,,,,,,7.547871799997665,7.612833499999397,8.062399499998719,8.062399499998719,8.562275600001158,8.562275600001158,8.862024199999723,9.16270760000043,9.262138699999923,9.36356589999923,up,1,0.18586299999878975,None,,,,,2,001,2023-11-10_18h08.19.144,solo,2023.2.2,60.220430864132155,2023-11-10 18h08.30.209638 +0530,
C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,4,4,15,9.46282599999904,,,,,,,,,9.364389499998651,9.46282599999904,9.879018200001155,9.879018200001155,10.378512899998896,10.378512899998896,10.679118199997902,10.978750999998738,11.078729299999395,11.313561299997673,down,1,0.3325985000010405,None,,,,,2,001,2023-11-10_18h08.19.144,solo,2023.2.2,60.220430864132155,2023-11-10 18h08.30.209638 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,-0.3,down,c,0,5,5,25,11.361701499998162,,,,,,,,,11.314390699997602,11.361701499998162,11.828970300000947,11.828970300000947,12.328875999999582,12.328875999999582,12.629241499998898,12.928751100000227,13.028825499997765,13.096405299998878,down,1,0.15417140000135987,None,,,,,2,001,2023-11-10_18h08.19.144,solo,2023.2.2,60.220430864132155,2023-11-10 18h08.30.209638 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,6,6,22,13.145289399999456,,,,,,,,,13.096892400000797,13.145289399999456,13.612235399999918,13.612235399999918,14.112024999998539,14.112024999998539,14.411875900001178,14.712158199999976,,14.746952400000737,up,1,0.021602799999527633,None,,,,,2,001,2023-11-10_18h08.19.144,solo,2023.2.2,60.220430864132155,2023-11-10 18h08.30.209638 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,7,7,20,14.828073900000163,,,,,,,,,14.747909499998059,14.828073900000163,15.262485499999457,15.262485499999457,15.76193069999863,15.76193069999863,16.062050100001215,16.361906099999032,16.462215899999137,16.613486700000067,up,1,0.23552320000089821,None,,,,,2,001,2023-11-10_18h08.19.144,solo,2023.2.2,60.220430864132155,2023-11-10 18h08.30.209638 +0530,
C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,0.3,up,c,0,8,8,6,16.661181899999065,,,,,,,,,16.614388599999074,16.661181899999065,17.128784299999097,17.128784299999097,17.628603699999076,17.628603699999076,17.92869409999912,18.228617500000837,18.32853139999861,18.48025150000103,up,1,0.24452630000087083,None,,,,,2,001,2023-11-10_18h08.19.144,solo,2023.2.2,60.220430864132155,2023-11-10 18h08.30.209638 +0530,
