image1,image2,pos,corr_resp,c_ic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,image.started,image_2.started,image.stopped,image_2.stopped,cue.started,key_resp.started,cue.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06475300000238349,0.09347250000064378,0.09347250000064378,4.8547402000003785,space,4.7503051000021514,None,,,,,,,,,,,,,,,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,0.3,up,c,0,0,0,7,4.9355943000009574,,,,,,,,,4.886726500000805,4.9355943000009574,5.402856799999427,5.402856799999427,5.90315610000107,5.90315610000107,6.169826100001956,6.369500299999345,6.56975230000171,7.321797299999162,up,1,0.9355408999981591,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,-0.3,down,c,0,1,1,25,7.419616800001677,,,,,,,,,7.324169700001221,7.419616800001677,7.836611800001265,7.836611800001265,8.336154200002056,8.336154200002056,8.636030800000299,8.836189699999522,9.036597500002244,9.43833910000103,down,1,0.5915320000021893,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,0.3,up,ic,0,2,2,17,9.518929100002424,,,,,,,,,9.439830400002393,9.518929100002424,9.953103300002113,9.953103300002113,10.452837100001489,10.452837100001489,10.752951500002382,10.953004700000747,11.152785800000856,11.571711100001266,up,1,0.6073849999993399,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,-0.3,down,c,0,3,3,29,11.669615000002523,,,,,,,,,11.573131000001013,11.669615000002523,12.086438700000144,12.086438700000144,12.586079000000609,12.586079000000609,12.886406500001613,13.086196899999777,13.286047199999302,13.688043300000572,down,1,0.5850176999992982,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,-0.3,down,c,0,4,4,28,13.786791400001675,,,,,,,,,13.689449000001332,13.786791400001675,14.203102100000251,14.203102100000251,14.702645299999858,14.702645299999858,15.002703500002099,15.20262720000028,15.403331900000921,15.572525700001279,down,1,0.3675144000008004,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Very Happy Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,5,5,19,15.652103600001283,,,,,,,,,15.57415519999995,15.652103600001283,16.086513599999307,16.086513599999307,16.586452800002007,16.586452800002007,16.886346700001013,17.086418999999296,17.286324400000012,17.638281800002005,up,1,0.5388520999986213,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,0.3,up,c,0,6,6,5,17.7370262000004,,,,,,,,,17.63971120000133,17.7370262000004,18.15292550000231,18.15292550000231,18.65271489999941,18.65271489999941,18.953116299999238,19.15279930000179,19.352758699998958,19.888222300000052,up,1,0.7236372999977903,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Smiling With Closed Eyes Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,7,7,18,19.986849200002325,,,,,,,,,19.88971709999896,19.986849200002325,20.403406500001438,20.403406500001438,20.902900100001716,20.902900100001716,21.202756200000294,21.4028330000001,21.602533699999185,22.105115500002285,up,1,0.6965963000002375,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,8,8,22,22.20194320000155,,,,,,,,,22.106537300001946,22.20194320000155,22.619558000002144,22.619558000002144,23.119782400000986,23.119782400000986,23.4193039999991,23.619590000002063,23.81970630000069,24.354819000000134,up,1,0.7257436999971105,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,0.3,up,ic,0,9,9,21,24.453100900002028,,,,,,,,,24.356289400002424,24.453100900002028,24.869972299999063,24.869972299999063,25.369351500001358,25.369351500001358,25.669823500000348,25.87005290000161,26.069200300000375,26.322237100001075,up,1,0.4493641999979445,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,-0.3,down,ic,0,10,10,12,26.419775300000765,,,,,,,,,26.32373759999973,26.419775300000765,26.836206600000878,26.836206600000878,27.336213400001725,27.336213400001725,27.636180600002263,27.83598450000136,28.03834950000237,28.438021000001754,down,1,0.5906323999988672,None,,,,,6,001,2023-11-10_19h11.40.213,solo,2023.2.2,59.86274669503992,2023-11-10 19h12.14.667425 +0530,
