image1,image2,pos,corr_resp,c_ic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,image.started,image_2.started,image.stopped,image_2.stopped,cue.started,key_resp.started,cue.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Very Happy Emoji [Free Download IOS Emojis].png,-0.3,down,c,0,10,10,27,24.467620700001135,,,,,,,,,24.42012590000013,24.467620700001135,24.934821000002557,24.934821000002557,25.434575900002528,25.434575900002528,25.734261000001425,25.93487069999901,,26.085990800002037,down,1,0.14964929999769083,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,-0.3,down,ic,0,11,11,13,26.13490069999898,,,,,,,,,26.086915800002316,26.13490069999898,26.60136229999989,26.60136229999989,27.100937999999587,27.100937999999587,27.400881699999445,27.60107910000079,,27.686006100000668,down,1,0.07920469999953639,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,-0.3,down,c,0,12,12,29,27.751659800000198,,,,,,,,,27.686876100000518,27.751659800000198,28.20129110000198,28.20129110000198,28.70090540000092,28.70090540000092,29.00116479999997,29.200521599999774,,29.317828300001565,down,1,0.11047640000106185,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Smiling With Closed Eyes Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,13,13,18,29.368148100002145,,,,,,,,,29.318368200001714,29.368148100002145,29.83382750000237,29.83382750000237,30.334204700000555,30.334204700000555,30.617285700001958,30.81701030000113,,30.96806650000144,up,1,0.1485872000012023,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,14,14,22,30.999695300000894,,,,,,,,,30.968549000001076,30.999695300000894,31.46785219999947,31.46785219999947,31.967598900002486,31.967598900002486,32.26805650000097,32.46774050000022,,32.569541000000754,up,1,0.0964696000010008,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Happy Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,-0.3,down,ic,0,15,15,8,32.61665600000197,,,,,,,,,32.570834599999216,32.61665600000197,33.08442280000236,33.08442280000236,33.58416330000182,33.58416330000182,33.88402100000167,34.084403299999394,,34.202519099999336,down,1,0.10291380000126082,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,-0.3,down,c,0,16,16,28,34.26677790000031,,,,,,,,,34.2034848000003,34.26677790000031,34.71777590000056,34.71777590000056,35.217397500000516,35.217397500000516,35.51783889999933,35.73133020000023,,35.86919019999914,up,0,0.1346497000013187,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,0.3,up,c,0,17,17,4,35.91621660000237,,,,,,,,,35.870343099999445,35.91621660000237,36.38447730000189,36.38447730000189,36.884120300001086,36.884120300001086,37.184268000000884,37.38407290000032,,37.50267680000252,up,1,0.10339110000131768,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,-0.3,down,ic,0,18,18,12,37.54996179999944,,,,,,,,,37.50350430000253,37.54996179999944,38.01767420000033,38.01767420000033,38.51804190000257,38.51804190000257,38.81752290000077,39.018250299999636,39.217448899999,41.41941829999996,down,1,2.3959485000013956,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,-0.3,down,c,0,19,19,30,41.466266300001735,,,,,,,,,41.42045190000135,41.466266300001735,41.9342902999997,41.9342902999997,42.4343841000009,42.4343841000009,42.7342200000021,42.93433740000182,43.13402180000048,43.1521066000023,down,1,0.2119821000014781,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
