image1,image2,pos,corr_resp,c_ic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,image.started,image_2.started,image.stopped,image_2.stopped,cue.started,cue.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
C:\Users\twara\Downloads\Slightly Smiling Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,-0.3,down,ic,0,9,9,12,26.312759699998423,,,,,,,,,26.24768580000091,26.312759699998423,26.762213399997563,26.762213399997563,27.261912000001757,27.261912000001757,27.562052400004177,27.96217610000167,27.96217610000167,28.13089310000214,down,1,0.1642340999969747,None,,,,,1,001,2023-11-09_16h16.32.781,solo,2023.2.2,60.10081310190574,2023-11-09 16h16.43.529472 +0530,
C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,-0.3,down,ic,0,10,10,14,28.19526130000304,,,,,,,,,28.131888000003528,28.19526130000304,28.64542100000108,28.64542100000108,29.145199099999445,29.145199099999445,29.44562240000232,29.845388699999603,29.845388699999603,37.646812700004375,down,1,7.795878899996751,None,,,,,1,001,2023-11-09_16h16.32.781,solo,2023.2.2,60.10081310190574,2023-11-09 16h16.43.529472 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Slightly Smiling Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,11,11,20,37.6949128999986,,,,,,,,,37.64786029999959,37.6949128999986,38.162119300002814,38.162119300002814,38.661723999997776,38.661723999997776,38.96193840000342,39.36191910000343,39.36191910000343,39.48004129999754,up,1,0.10706149999896297,None,,,,,1,001,2023-11-09_16h16.32.781,solo,2023.2.2,60.10081310190574,2023-11-09 16h16.43.529472 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,-0.3,down,c,0,12,12,30,39.52835050000431,,,,,,,,,39.48104079999757,39.52835050000431,39.99583970000094,39.99583970000094,40.49540089999937,40.49540089999937,40.79509010000038,41.195068599998194,41.195068599998194,41.24713139999949,down,1,0.046549899998353794,None,,,,,1,001,2023-11-09_16h16.32.781,solo,2023.2.2,60.10081310190574,2023-11-09 16h16.43.529472 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,0.3,up,ic,0,13,13,21,41.29458660000091,,,,,,,,,41.24812530000054,41.29458660000091,41.76205679999839,41.76205679999839,42.261945999998716,42.261945999998716,42.56191100000433,42.96166660000017,42.96166660000017,44.93065390000265,up,1,1.9646812999999383,None,,,,,1,001,2023-11-09_16h16.32.781,solo,2023.2.2,60.10081310190574,2023-11-09 16h16.43.529472 +0530,
C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,-0.3,down,ic,0,14,14,9,44.97798899999907,,,,,,,,,44.93165340000269,44.97798899999907,45.44537159999891,45.44537159999891,45.94519630000286,45.94519630000286,46.24500919999991,46.64502770000399,46.64502770000399,46.72990530000243,down,1,0.06796839999879012,None,,,,,1,001,2023-11-09_16h16.32.781,solo,2023.2.2,60.10081310190574,2023-11-09 16h16.43.529472 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,-0.3,down,c,0,15,15,29,46.77790939999977,,,,,,,,,46.73069720000058,46.77790939999977,47.24524489999749,47.24524489999749,47.74496730000101,47.74496730000101,48.045084999997925,48.44553409999935,48.44553409999935,50.629593400000886,down,1,2.174800499997218,None,,,,,1,001,2023-11-09_16h16.32.781,solo,2023.2.2,60.10081310190574,2023-11-09 16h16.43.529472 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,16,16,22,50.6779028000019,,,,,,,,,50.6305971000038,50.6779028000019,51.145286099999794,51.145286099999794,51.64503839999816,51.64503839999816,51.94529709999915,52.34510099999898,52.34510099999898,52.37961989999894,up,1,0.017791099999158178,None,,,,,1,001,2023-11-09_16h16.32.781,solo,2023.2.2,60.10081310190574,2023-11-09 16h16.43.529472 +0530,
C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,17,17,15,52.444898900001135,,,,,,,,,52.38060480000422,52.444898900001135,52.89517180000257,52.89517180000257,53.39507479999884,53.39507479999884,53.69491469999775,54.09480800000165,54.09480800000165,56.512964000001375,down,1,2.4124257000003126,None,,,,,1,001,2023-11-09_16h16.32.781,solo,2023.2.2,60.10081310190574,2023-11-09 16h16.43.529472 +0530,
C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,0.3,up,c,0,18,18,7,56.56035030000203,,,,,,,,,56.51381550000224,56.56035030000203,57.02861850000045,57.02861850000045,57.52836869999737,57.52836869999737,57.828058999999485,58.22818450000341,58.22818450000341,58.3633101000014,up,1,0.13360929999907967,None,,,,,1,001,2023-11-09_16h16.32.781,solo,2023.2.2,60.10081310190574,2023-11-09 16h16.43.529472 +0530,
